OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought
b5ae03d2d76e6dbe65a3b91a8dea9498	k_Fungi;p_Aphelidiomycota;c_Aphelidiomycetes;o_GS16;f_GS16_fam_Incertae_sedis;g_GS16_gen_Incertae_sedis	30	24	0	38	53	4	10	16	48	33
b61eea510408d1848d1d9c444465ca10	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Arachnomycetales;f_Arachnomycetaceae;g_Arachnomyces	0	0	0	0	0	0	0	12	6	6
b71965548db0795d76f29d68ed3077c9	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Trichosporonales;f_Trichosporonaceae;g_Cutaneotrichosporon	0	0	0	0	0	0	0	3	0	0
b7a50035d24966d612308a9b2b48e997	k_Fungi;p_Basidiomycota;c_Microbotryomycetes;o_Microbotryomycetes_ord_Incertae_sedis	0	0	37	0	0	0	0	0	0	0
b80a70fa5404973c4a6e394f3b67ff1d	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Ophiocordycipitaceae;g_Haptocillium	0	4	0	0	0	0	0	0	0	0
b92d324ea32556c584d0607742c3ec92	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiomycetes_ord_Incertae_sedis;f_Eurotiomycetes_fam_Incertae_sedis;g_Eurotiomycetes_gen_Incertae_sedis	0	49	0	0	0	0	0	0	0	0
b99593273f1f2ecf14415ea9e6f01ea0	k_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Chytridiales;f_Chytridiales_fam_Incertae_sedis;g_Chytridiales_gen_Incertae_sedis	0	7	0	0	0	0	0	0	0	0
ba0c7cc3c879422b211547dd16060cb9	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Lachnaceae;g_Lachnellula	0	0	7	97	0	55	157	85	0	0
baea88a71e00ef56ad86f81a931aceca	k_Fungi;p_Fungi_phy_Incertae_sedis;c_Fungi_cls_Incertae_sedis;o_Fungi_ord_Incertae_sedis;f_Fungi_fam_Incertae_sedis;g_Fungi_gen_Incertae_sedis	3169	2097	2225	3735	4102	3380	3727	4159	2598	1716
bb1c16e6552b4288125931d5020d8eb2	k_Fungi;p_Ascomycota;c_Orbiliomycetes;o_Orbiliales;f_Orbiliaceae;g_Hyalorbilia	0	0	0	0	0	1	0	0	0	0
bb553e4071c274bd58c81709b9c8bd5b	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Herpotrichiellaceae	0	0	98	56	70	36	27	22	2	5
