OTU ID	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought	Kingdom	Phylum	Class	Order	Family	Genus	Species
398d0d9d28a36fe976c640ee40438c8c	9	32	15	24	28	85	22	0	32	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Lasionectria	NA
3a055208ac02108a4c7f5591eefc0172	0	8	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pleuroascaceae	Pleuroascaceae_gen_Incertae_sedis	NA
3af899f04166e1525cf3588978e1fa90	12	3	23	8	25	13	0	5	16	30	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
3b24ec65a28a597379bcd04062fb0f8e	0	0	0	44	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	NA	NA
3ccef7fce5b2e646b4670e966a0609ef	35	0	0	76	30	16	51	14	22	0	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Hormiactis	NA
3cfe605fc47c8b8d471164a860ebebb3	0	0	105	25	0	107	57	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Tremellodendropsidales	Tremellodendropsidaceae	Tremellodendropsis	NA
3d11630535cf482f51c26d45a896c425	26	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Reticulascaceae	Reticulascus	NA
3d38c23310a3cc83b0df366051f280eb	0	12	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Samsoniella	NA
3d3f34b43942f5140a7a12f0c5de1ebd	0	0	13	0	0	0	0	3	0	0	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	NA	NA
3db18e19b16ef8e429768437e38bc80a	10	7	47	27	46	32	13	20	11	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavariaceae_gen_Incertae_sedis	NA
3df42c7cb918c98d532812b4aacdeaff	48	21	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Kiflimonium	NA
3e28c62b2072bdd0c5d66ba4da75f4ca	0	0	0	0	4	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Leptospora	NA
3e8641588ed3c7dfdb35adc5d0ff1ebf	0	0	27	0	0	1	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Savoryellales	Savoryellaceae	Savoryella	NA
3ede0f0ff670b26f1dac691ff15c7e53	11	27	0	0	0	0	0	0	0	0	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	NA
3f26940e86c7e03164936b6408e7564b	5	3	0	0	6	0	0	0	52	189	Fungi	Olpidiomycota	Olpidiomycota_cls_Incertae_sedis	Olpidiomycota_ord_Incertae_sedis	Olpidiomycota_fam_Incertae_sedis	Olpidiomycota_gen_Incertae_sedis	NA
3fefda947b457ac51f87dddc0883a5cf	0	5	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	NA
401414b16e0b366c0bc0474e5a53cd51	0	19	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pezizaceae_gen_Incertae_sedis	NA
401666a33bf85775a6dc405271d9df79	39	12	248	0	9	105	42	47	44	26	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	NA
404f7f67ff9534ff2cbd94fabfc89388	0	0	71	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Acaulium	NA
4144b687fe537fcb6f20b9753fd32a3c	0	0	0	5	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Parasola	NA
414810e8176c82a94ac0adb4ed09dfa2	20	12	7	18	29	28	58	11	9	28	Fungi	Kickxellomycota	Kickxellomycota_cls_Incertae_sedis	Kickxellomycota_ord_Incertae_sedis	Kickxellomycota_fam_Incertae_sedis	Kickxellomycota_gen_Incertae_sedis	NA
42360b30b79c2c6f359d91c7129c5e4f	8	0	0	0	0	2	0	0	15	27	Fungi	Ascomycota	Sordariomycetes	Phomatosporales	Phomatosporaceae	Phomatospora	NA
424f23aabccca787e6b97ac42bbe847b	7	18	0	0	0	2	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	NA
429dd3f6b4a202c4ab902ac6a35add32	0	3	19	18	98	8	51	71	0	0	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	NA
43509f0756dedeafa4648c57cbbb61d3	34	19	52	15	889	1265	86	33	663	578	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Staphylotrichum	NA
4360403cd3e59f847933844e89565fb8	524	524	432	638	308	176	199	223	295	178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	NA
43a95e01a5c67f3480668bd5c2851c34	5	0	7	16	0	2	5	0	23	57	Fungi	Ascomycota	Pezizomycetes	Pezizomycetes_ord_Incertae_sedis	Pezizomycetes_fam_Incertae_sedis	Pezizomycetes_gen_Incertae_sedis	NA
43ace94b20b345c5182b74e5c996c868	11	28	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cyathicula	NA
44a93008a3806b97401571ae0da5b67e	0	3	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Xenospadicoidales	Xenospadicoidaceae	Lentomitella	NA
45e9fdc33334041c5e574872704db2a0	0	19	0	0	0	29	0	46	162	126	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordycipitaceae_gen_Incertae_sedis	NA
47246015557c29383928ec3a275f1158	0	1	0	6	3	4	11	0	9	17	Fungi	Chytridiomycota	Cladochytriomycetes	Cladochytriales	Cladochytriales_fam_Incertae_sedis	Cladochytriales_gen_Incertae_sedis	NA
473cfc468e13e14b16af225607c5beae	0	10	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	NA
4807055b51e7e5d9639d7e1650af8c0e	12	56	32	41	93	349	20	330	50	833	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Acremonium	NA
4878cc14b6e1651ba06523a670e4fd3c	0	0	1	0	0	0	0	0	0	0	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur	NA
